['2020-01-31', 'country', 2]
['2020-01-31', 'confirmed', 3]
['2020-01-31', 'coronavirus', 4]
['2020-01-31', 'world', 2]
['2020-01-31', 'travel', 3]
['2020-01-31', 'outbreak', 2]
['2020-01-31', 'international', 2]
['2020-01-31', 'people', 4]
['2020-01-31', 'being', 2]
['2020-02-02', 'china', 9]
['2020-02-02', 'novel', 4]
['2020-02-02', 'coronavirus', 8]
['2020-02-02', 'health', 5]
['2020-02-02', 'wuhan', 2]
['2020-02-02', 'confirmed', 2]
['2020-02-02', 'united', 2]
['2020-02-02', 'states', 2]
['2020-02-02', 'public', 2]
['2020-02-03', 'health', 2]
['2020-02-03', 'minister', 2]
['2020-02-03', 'confirmed', 2]
['2020-02-03', 'coronavirus', 5]
['2020-02-03', 'officials', 3]
['2020-02-03', 'symptoms', 2]
['2020-02-03', 'patients', 2]
['2020-02-03', 'country', 2]
['2020-02-03', 'virus', 11]
['2020-02-03', 'china', 9]
['2020-02-03', 'measures', 2]
['2020-02-03', 'control', 2]
['2020-02-03', 'spread', 2]
['2020-02-03', 'person', 2]
['2020-02-03', 'outbreak', 7]
['2020-02-03', 'where', 2]
['2020-02-03', 'government', 4]
['2020-02-03', 'world', 2]
['2020-02-03', 'markets', 3]
['2020-02-03', 'chinese', 5]
['2020-02-03', 'medical', 2]
['2020-02-03', 'number', 3]
['2020-02-04', 'coronavirus', 8]
['2020-02-04', 'government', 5]
['2020-02-04', 'state', 7]
['2020-02-04', 'authorities', 5]
['2020-02-04', 'reported', 5]
['2020-02-04', 'three', 2]
['2020-02-04', 'cases', 7]
['2020-02-04', 'people', 5]
['2020-02-04', 'china', 10]
['2020-02-04', 'country', 3]
['2020-02-04', 'health', 7]
['2020-02-04', 'confirmed', 8]
['2020-02-04', 'deadly', 2]
['2020-02-04', 'number', 4]
['2020-02-04', 'deaths', 4]
['2020-02-04', 'infected', 6]
['2020-02-04', 'chinese', 8]
['2020-02-04', 'virus', 12]
['2020-02-04', 'wuhan', 6]
['2020-02-04', 'hospital', 2]
['2020-02-04', 'person', 2]
['2020-02-04', 'spread', 4]
['2020-02-04', 'outbreak', 2]
['2020-02-04', 'death', 2]
['2020-02-04', 'epidemic', 2]
['2020-02-04', 'global', 2]
['2020-02-04', 'travel', 4]
['2020-02-04', 'world', 2]
['2020-02-05', 'people', 9]
['2020-02-05', 'infected', 4]
['2020-02-05', 'coronavirus', 9]
['2020-02-05', 'deadly', 2]
['2020-02-05', 'health', 3]
['2020-02-05', 'china', 9]
['2020-02-05', 'deaths', 3]
['2020-02-05', 'chinese', 3]
['2020-02-05', 'cases', 4]
['2020-02-05', 'reported', 6]
['2020-02-05', 'measures', 3]
['2020-02-05', 'february', 3]
['2020-02-05', 'spread', 3]
['2020-02-05', 'virus', 6]
['2020-02-05', 'wuhan', 3]
['2020-02-05', 'being', 2]
['2020-02-05', 'person', 2]
['2020-02-05', 'tested', 2]
['2020-02-06', 'virus', 120]
['2020-02-06', 'wuhan', 119]
['2020-02-06', 'chinese', 94]
['2020-02-06', 'number', 27]
['2020-02-06', 'world', 32]
['2020-02-06', 'coronavirus', 349]
['2020-02-06', 'outbreak', 125]
['2020-02-06', 'china', 187]
['2020-02-06', 'epidemic', 26]
['2020-02-06', 'state', 27]
['2020-02-06', 'including', 26]
